Date,Year,Month,WeekStatus,Day_Of_Week,NSM,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,CO2(tCO2),Usage_kWh,Hour
2018-01-01,2018,1,1,Monday,900,0,2.95,0.0,73.21,100.0,0.0,3.17,0
2018-01-01,2018,1,1,Monday,1800,0,4.46,0.0,66.77,100.0,0.0,4.0,0
2018-01-01,2018,1,1,Monday,2700,0,3.28,0.0,70.28,100.0,0.0,3.24,0
2018-01-01,2018,1,1,Monday,3600,0,3.56,0.0,68.09,100.0,0.0,3.31,1
2018-01-01,2018,1,1,Monday,4500,0,4.5,0.0,64.72,100.0,0.0,3.82,1
2018-01-01,2018,1,1,Monday,5400,0,3.56,0.0,67.76,100.0,0.0,3.28,1
2018-01-01,2018,1,1,Monday,6300,0,4.14,0.0,65.62,100.0,0.0,3.6,1
2018-01-01,2018,1,1,Monday,7200,0,4.28,0.0,64.37,100.0,0.0,3.6,2
2018-01-01,2018,1,1,Monday,8100,0,3.64,0.0,66.94,100.0,0.0,3.28,2
2018-01-01,2018,1,1,Monday,9000,0,4.72,0.0,62.51,100.0,0.0,3.78,2
2018-01-01,2018,1,1,Monday,9900,0,4.03,0.0,65.14,100.0,0.0,3.46,2
2018-01-01,2018,1,1,Monday,10800,0,3.64,0.0,66.49,100.0,0.0,3.24,3
2018-01-01,2018,1,1,Monday,11700,0,4.97,0.0,62.32,100.0,0.0,3.96,3
2018-01-01,2018,1,1,Monday,12600,0,3.74,0.0,66.27,100.0,0.0,3.31,3
2018-01-01,2018,1,1,Monday,13500,0,3.85,0.0,65.19,100.0,0.0,3.31,3
2018-01-01,2018,1,1,Monday,14400,0,5.0,0.0,61.4,100.0,0.0,3.89,4
2018-01-01,2018,1,1,Monday,15300,0,3.82,0.0,65.14,100.0,0.0,3.28,4
2018-01-01,2018,1,1,Monday,16200,0,4.28,0.0,63.95,100.0,0.0,3.56,4
2018-01-01,2018,1,1,Monday,17100,0,4.54,0.0,63.58,100.0,0.0,3.74,4
2018-01-01,2018,1,1,Monday,18000,0,3.6,0.0,67.68,100.0,0.0,3.31,5
2018-01-01,2018,1,1,Monday,18900,0,4.07,0.0,65.84,100.0,0.0,3.56,5
2018-01-01,2018,1,1,Monday,19800,0,4.1,0.0,65.56,100.0,0.0,3.56,5
2018-01-01,2018,1,1,Monday,20700,0,3.49,0.0,68.48,100.0,0.0,3.28,5
2018-01-01,2018,1,1,Monday,21600,0,4.32,0.0,65.85,100.0,0.0,3.78,6
2018-01-01,2018,1,1,Monday,22500,0,3.64,0.0,67.72,100.0,0.0,3.35,6
2018-01-01,2018,1,1,Monday,23400,0,3.35,0.0,69.52,100.0,0.0,3.24,6
2018-01-01,2018,1,1,Monday,24300,0,4.46,0.0,65.73,100.0,0.0,3.89,6
2018-01-01,2018,1,1,Monday,25200,0,3.53,0.0,68.4,100.0,0.0,3.31,7
2018-01-01,2018,1,1,Monday,26100,0,3.49,0.0,68.48,100.0,0.0,3.28,7
2018-01-01,2018,1,1,Monday,27000,0,4.75,0.0,62.97,100.0,0.0,3.85,7
2018-01-01,2018,1,1,Monday,27900,0,3.6,0.0,66.44,100.0,0.0,3.2,7
2018-01-01,2018,1,1,Monday,28800,0,3.78,0.0,65.88,100.0,0.0,3.31,8
2018-01-01,2018,1,1,Monday,29700,0,4.75,0.0,62.27,100.0,0.0,3.78,8
