Year,Month,Day,Hour,NSM,WeekStatus,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,CO2(tCO2),Usage_kWh,Day_Of_Week_Monday,Day_Of_Week_Saturday,Day_Of_Week_Sunday,Day_Of_Week_Thursday,Day_Of_Week_Tuesday,Day_Of_Week_Wednesday
2018,1,1,0,900,1,0,2.95,0.0,73.21,100.0,0.0,3.17,1,0,0,0,0,0
2018,1,1,0,1800,1,0,4.46,0.0,66.77,100.0,0.0,4.0,1,0,0,0,0,0
2018,1,1,0,2700,1,0,3.28,0.0,70.28,100.0,0.0,3.24,1,0,0,0,0,0
2018,1,1,1,3600,1,0,3.56,0.0,68.09,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,1,4500,1,0,4.5,0.0,64.72,100.0,0.0,3.82,1,0,0,0,0,0
2018,1,1,1,5400,1,0,3.56,0.0,67.76,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,1,6300,1,0,4.14,0.0,65.62,100.0,0.0,3.6,1,0,0,0,0,0
2018,1,1,2,7200,1,0,4.28,0.0,64.37,100.0,0.0,3.6,1,0,0,0,0,0
2018,1,1,2,8100,1,0,3.64,0.0,66.94,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,2,9000,1,0,4.72,0.0,62.51,100.0,0.0,3.78,1,0,0,0,0,0
2018,1,1,2,9900,1,0,4.03,0.0,65.14,100.0,0.0,3.46,1,0,0,0,0,0
2018,1,1,3,10800,1,0,3.64,0.0,66.49,100.0,0.0,3.24,1,0,0,0,0,0
2018,1,1,3,11700,1,0,4.97,0.0,62.32,100.0,0.0,3.96,1,0,0,0,0,0
2018,1,1,3,12600,1,0,3.74,0.0,66.27,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,3,13500,1,0,3.85,0.0,65.19,100.0,0.0,3.31,1,0,0,0,0,0
2018,1,1,4,14400,1,0,5.0,0.0,61.4,100.0,0.0,3.89,1,0,0,0,0,0
2018,1,1,4,15300,1,0,3.82,0.0,65.14,100.0,0.0,3.28,1,0,0,0,0,0
2018,1,1,4,16200,1,0,4.28,0.0,63.95,100.0,0.0,3.56,1,0,0,0,0,0
